,page_url,src_url,iframe_html
335,https://www.sigma-rh.com/en-ca/global-hris/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
336,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
337,https://www.sigma-rh.com/fr-fr/suite-gestion-administrative/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
338,https://www.sigma-rh.com/en-ca/core-hr-suite/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
339,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/base-rh/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
340,https://www.sigma-rh.com/fr-fr/suite-gestion-administrative/core-rh/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
341,https://www.sigma-rh.com/en-ca/core-hr-suite/hr-management/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
342,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/libre-service-rh/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
343,https://www.sigma-rh.com/fr-fr/suite-gestion-administrative/self-service-rh/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
344,https://www.sigma-rh.com/en-ca/core-hr-suite/hr-self-service/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
345,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/signature-electronique-avancee/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
346,https://www.sigma-rh.com/fr-fr/suite-gestion-administrative/signature-electronique-avancee/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
347,https://www.sigma-rh.com/en-ca/core-hr-suite/electronic-signatures-module/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
348,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/comptes-de-depenses/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
